#id,value,fmt,ts,ip,path,blockname,idoffset,masterId,dev,chn
10001,"0",1,1488377160.444,192.168.20.1,/ram/scada1.csv,A1,10000,1,A1_IO,MODULE_TEMP1
10002,NaN,1,1488377160.444,192.168.20.1,/ram/scada1.csv,A1,10000,1,A1_IO,MODULE_TEMP1_AVG
10003,"0",1,1488377160.444,192.168.20.1,/ram/scada1.csv,A1,10000,1,A1_IO,MODULE_TEMP2
10004,NaN,1,1488377160.444,192.168.20.1,/ram/scada1.csv,A1,10000,1,A1_IO,MODULE_TEMP2_AVG
11001,"1",1,1488377160.444,192.168.20.4,/ram/scada1.csv,A1,11000,1,A1_IO,CB_CF
11002,NaN,1,0,192.168.20.4,/ram/scada1.csv,A1,11000,1,A1_IO,CB_DP
11003,"0",1,1488377160.444,192.168.20.4,/ram/scada1.csv,A1,11000,1,A1_IO,COMMUNICATION_STATUS
11004,"0",1,1488377160.444,192.168.20.4,/ram/scada1.csv,A1,11000,1,A1_IO,ITF_FAULT
11005,"0",1,1488377160.444,192.168.20.4,/ram/scada1.csv,A1,11000,1,A1_IO,TRAFO_BUCH_AL
11006,"0",1,1488377160.444,192.168.20.4,/ram/scada1.csv,A1,11000,1,A1_IO,TRAFO_OTI_AL
11007,"0",1,1488377160.444,192.168.20.4,/ram/scada1.csv,A1,11000,1,A1_IO,TRAFO_WTI_AL
12001,"0",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,COMMUNICATION_STATUS
12002,"172625.4",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,EAE
12003,"10.389999999999",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,EAE_DAY
12004,"1099.4",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,EAI
12005,"0.049999999999997",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,EAI_DAY
12006,"56.677",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,EQE
12007,NaN,1,0,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,ESE
12008,"172725.8",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,ESI
12009,"50.052",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,FAC
12010,NaN,1,0,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,FwName
12011,"1.005",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,IAC1
12012,"0.4185",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,IAC2
12013,"0.7295",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,IAC3
12014,"42878.879",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,OpHrs
12015,"-0.0057",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,PAC
12016,"0.421",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,PF
12017,"121.0163625",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,PHI1
12018,"119.3130675",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,PHI2
12019,"119.758122",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,PHI3
12020,"-5.695",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,PKT
12021,"-0.012195",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,QAC
12022,"0.013445",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,SAC
12023,NaN,1,0,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,SNR
12024,"6.5521",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,UAC1
12025,"11.3315041125",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,UAC12
12026,"6.5324",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,UAC2
12027,"11.2417839225",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,UAC23
12028,"6.4485",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,UAC3
12029,"11.258844615",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,UAC31
12030,"1.55516",1,1488377160.444,192.168.20.4,/ram/scada2.csv,A1,12000,2,A1_HTP_EM,PAC_MAX
13001,"1",1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,COMMUNICATION_STATUS
13002,NaN,1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,EAE
13003,"nan",1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,EAE_DAY
13004,NaN,1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,EAI
13005,"nan",1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,EAI_DAY
13006,NaN,1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,EQE_Capacitive
13007,NaN,1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,EQE_Inductive
13008,NaN,1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,EQI_Capacitive
13009,NaN,1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,EQI_Inductive
13010,NaN,1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,ESE
13011,NaN,1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,ESI
13012,NaN,1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,FAC
13013,NaN,1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,IAC
13014,NaN,1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,IAC1
13015,NaN,1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,IAC2
13016,NaN,1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,IAC3
13017,NaN,1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,OPHRS
13018,NaN,1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,PAC
13019,"nan",1,1488377160.444,192.168.20.1,/ram/scada2.csv,A1,13000,2,A1_SRP_EM,PAC_MAX
